Type,Dua Title,Files Found,File Count,Categories
"EXACT_DUPLICATE","For Firmness of the Heart","protection-iman.json | sunnah-duas.json",2,"Protection & Iman | Sunnah Duas"
"EXACT_DUPLICATE","Sujud #7","salah.json | sunnah-duas.json",2,"Salah (Prayer) | Sunnah Duas"
"EXACT_DUPLICATE","Salah on the Prophet ﷺ","salah.json | salawat.json",2,"Salah (Prayer) | Salawat (Blessings on the Prophet)"
"EXACT_TITLE_DUPLICATE","Tasbih, Tahmid and Takbir","before-sleep.json | evening.json | morning.json",3,"Before Sleep | Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Sayyid al-Istighfar: The Best Way of Seeking Forgiveness","evening.json | morning.json | sunnah-duas.json",3,"Evening Adhkar | Morning Adhkar | Sunnah Duas"
"EXACT_TITLE_DUPLICATE","Entrust All Your Matters to Allah","evening.json | morning.json | sunnah-duas.json",3,"Evening Adhkar | Morning Adhkar | Sunnah Duas"
"EXACT_TITLE_DUPLICATE","Allah Will Suffice You in Everything","evening.json | morning.json | ruqyah-illness.json",3,"Evening Adhkar | Morning Adhkar | Ruqyah & Illness"
"EXACT_TITLE_DUPLICATE","Protect Yourself From the 4 Evils","before-sleep.json | morning.json",2,"Before Sleep | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Praise Allah With the Praises of the Entire Creation","before-sleep.json | praises-allah.json",2,"Before Sleep | Praises of Allah"
"EXACT_TITLE_DUPLICATE","When Difficulties Make You Yearn for Death","death.json | difficulties-happiness.json",2,"Death & Bereavement | Difficulties & Happiness"
"EXACT_TITLE_DUPLICATE","For Difficult Times: All Your Prayers Answered","dhikr-all-times.json | difficulties-happiness.json",2,"Dhikr for All Times | Difficulties & Happiness"
"EXACT_TITLE_DUPLICATE","Ayat al-Kursi: The Greatest Protection","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Protect Yourself From Anxiety, Laziness, Debt etc","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Well-being in this World and the Hereafter","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Fulfil Your Obligation to Thank Allah","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Get Yourself Freed from the Hell-fire","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Ask Allah For Good Health and Protection","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Have the Prophet ﷺ Hold Your Hand and Admit You to Paradise","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Protect Yourself From All Harm","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Get Your Sins Forgiven","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","An Unparalleled Reward","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Receive the Intercession of the Prophet ﷺ","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"EXACT_TITLE_DUPLICATE","Seeking Protection for Children","marriage-children.json | ruqyah-illness.json",2,"Marriage & Children | Ruqyah & Illness"
"EXACT_TITLE_DUPLICATE","4 Phrases That Outweigh All Other Dhikr","morning.json | praises-allah.json",2,"Morning Adhkar | Praises of Allah"
"SIMILAR_TITLE","Protect Yourself From the 4 Evils","before-sleep.json | morning.json | evening.json",3,"Before Sleep | Morning Adhkar | Evening Adhkar"
"SIMILAR_TITLE","All of Your Sins Forgiven","dhikr-all-times.json | evening.json | morning.json",3,"Dhikr for All Times | Evening Adhkar | Morning Adhkar"
"SIMILAR_TITLE","Well-being in this World and the Hereafter","evening.json | morning.json | sunnah-duas.json",3,"Evening Adhkar | Morning Adhkar | Sunnah Duas"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Salawat","dhikr-all-times.json | salawat.json",2,"Dhikr for All Times | Salawat (Blessings on the Prophet)"
"SIMILAR_TITLE","Start the Evening by Praising Allah","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"SIMILAR_TITLE","Upon Entering the Evening","evening.json | morning.json",2,"Evening Adhkar | Morning Adhkar"
"SIMILAR_TITLE","Protection from all Evil","evening.json | ruqyah-illness.json",2,"Evening Adhkar | Ruqyah & Illness"
"SIMILAR_TITLE","3 Quls: Be Sufficed in All Your Matters","morning.json | evening.json",2,"Morning Adhkar | Evening Adhkar"
"SIMILAR_TITLE","Start Your Day by Renewing Tawhid","morning.json | evening.json",2,"Morning Adhkar | Evening Adhkar"
"SIMILAR_TITLE","Ask Allah to Bless Your Day","morning.json | evening.json",2,"Morning Adhkar | Evening Adhkar"
"SIMILAR_TITLE","Surah al-Fatihah: The Best Cure","ruqyah-illness.json | quranic-duas.json",2,"Ruqyah & Illness | Quranic Duas"

